pdb_id,filename,num_frames
2pbiA02,2pbiA02_R3_i1.npy,500
4bszB00,4bszB00_R0_i1.npy,500
2dcfA03,2dcfA03_R1_i1.npy,500
2phcB02,2phcB02_R3_i1.npy,500
3pdiA02,3pdiA02_R0_i1.npy,500
4jixB00,4jixB00_R1_i1.npy,500
2p6wA00,2p6wA00_R3_i1.npy,500
3r20A00,3r20A00_R2_i1.npy,500
2xzmK00,2xzmK00_R2_i1.npy,500
4i5sA01,4i5sA01_R1_i1.npy,500
3uulA00,3uulA00_R3_i1.npy,500
2n3eA01,2n3eA01_R0_i1.npy,500
5joqA01,5joqA01_R1_i1.npy,500
4mtnA03,4mtnA03_R3_i1.npy,500
4mlgG00,4mlgG00_R1_i1.npy,500
2f2cA02,2f2cA02_R1_i1.npy,500
4cu7A02,4cu7A02_R1_i1.npy,500
4juyB00,4juyB00_R1_i1.npy,500
4b7oA01,4b7oA01_R3_i1.npy,500
3e3vA03,3e3vA03_R2_i1.npy,500
2z1kA02,2z1kA02_R0_i1.npy,500
2jwpA00,2jwpA00_R0_i1.npy,500
2kanA01,2kanA01_R3_i1.npy,500
3nz3A00,3nz3A00_R1_i1.npy,500
4ipaA02,4ipaA02_R2_i1.npy,500
4dckA01,4dckA01_R3_i1.npy,500
3achA00,3achA00_R3_i1.npy,500
4d7sA01,4d7sA01_R3_i1.npy,500
4q5wA02,4q5wA02_R3_i1.npy,500
4lgyA02,4lgyA02_R0_i1.npy,500
2porA00,2porA00_R1_i1.npy,500
3qq5A02,3qq5A02_R2_i1.npy,500
2fnaA02,2fnaA02_R2_i1.npy,500
4arfA03,4arfA03_R0_i1.npy,500
5ad1A02,5ad1A02_R0_i1.npy,500
3p7lA03,3p7lA03_R0_i1.npy,500
3wstA04,3wstA04_R3_i1.npy,500
4hwiB01,4hwiB01_R2_i1.npy,500
4d8mA03,4d8mA03_R0_i1.npy,500
2yk0A03,2yk0A03_R3_i1.npy,500
2ljuA01,2ljuA01_R0_i1.npy,500
4le3C00,4le3C00_R3_i1.npy,500
4fppB01,4fppB01_R2_i1.npy,500
3vskA02,3vskA02_R2_i1.npy,500
5cl8A00,5cl8A00_R2_i1.npy,500
2lsmA00,2lsmA00_R1_i1.npy,500
4kboA02,4kboA02_R0_i1.npy,500
2cp6A01,2cp6A01_R3_i1.npy,500
3mvdK00,3mvdK00_R2_i1.npy,500
4ba0A04,4ba0A04_R3_i1.npy,500
3k1dA01,3k1dA01_R1_i1.npy,500
4fk8B01,4fk8B01_R0_i1.npy,500
2pd4A00,2pd4A00_R3_i1.npy,500
4nz1A01,4nz1A01_R2_i1.npy,500
2ff4A02,2ff4A02_R0_i1.npy,500
4wzxA01,4wzxA01_R0_i1.npy,500
3pmqA02,3pmqA02_R0_i1.npy,500
4yrvA02,4yrvA02_R0_i1.npy,500
2w2gA02,2w2gA02_R1_i1.npy,500
3njtA02,3njtA02_R1_i1.npy,500
4f87B00,4f87B00_R0_i1.npy,500
2lclA00,2lclA00_R3_i1.npy,500
3x1lB02,3x1lB02_R2_i1.npy,500
5cogA00,5cogA00_R0_i1.npy,500
2lmcB00,2lmcB00_R1_i1.npy,500
3waqA00,3waqA00_R2_i1.npy,500
2mlbA00,2mlbA00_R2_i1.npy,500
5k2mA01,5k2mA01_R0_i1.npy,500
3tguH00,3tguH00_R3_i1.npy,500
5cvrA02,5cvrA02_R3_i1.npy,500
4bq6A01,4bq6A01_R1_i1.npy,500
5k39B02,5k39B02_R2_i1.npy,500
2y94A03,2y94A03_R2_i1.npy,500
2of5H00,2of5H00_R1_i1.npy,500
3lrmA01,3lrmA01_R2_i1.npy,500
3rrkA03,3rrkA03_R3_i1.npy,500
3rfzB01,3rfzB01_R0_i1.npy,500
4lyqA00,4lyqA00_R3_i1.npy,500
2khcA00,2khcA00_R0_i1.npy,500
2xhwA03,2xhwA03_R1_i1.npy,500
2x49A03,2x49A03_R2_i1.npy,500
2hy5B00,2hy5B00_R0_i1.npy,500
4kypA00,4kypA00_R2_i1.npy,500
3nb2A04,3nb2A04_R3_i1.npy,500
5j8eA00,5j8eA00_R1_i1.npy,500
4jc8A01,4jc8A01_R0_i1.npy,500
3i9v700,3i9v700_R1_i1.npy,500
3abgB03,3abgB03_R1_i1.npy,500
3crvA02,3crvA02_R0_i1.npy,500
2de3A02,2de3A02_R0_i1.npy,500
3vayA02,3vayA02_R3_i1.npy,500
2kptA00,2kptA00_R1_i1.npy,500
